Event,Sex,Age,Height,Weight,GDP
Archery Men's Individual,M,27.123100303951368,178.32370820668692,24.05585889571952,16716.524286898966
Archery Men's Team,M,26.16176470588235,179.16176470588235,24.229875467112812,20840.963882797805
Archery Women's Individual,F,26.09433962264151,167.0566037735849,22.116918776017794,15376.566456139448
Archery Women's Team,F,24.916666666666668,167.42333333333335,22.28850761684987,18243.29419497599
"Athletics Men's 1,500 metres",M,24.436950146627566,178.28152492668622,20.46942008074814,10565.036228411174
"Athletics Men's 10,000 metres",M,26.6875,172.88194444444446,19.978944271078646,9594.418532635093
Athletics Men's 100 metres,M,24.284926470588236,177.12408088235293,23.136024790878228,9326.471114558308
Athletics Men's 110 metres Hurdles,M,25.03956834532374,185.55755395683454,22.663323260913796,12399.645972332895
Athletics Men's 20 kilometres Walk,M,27.202435312024352,175.7412480974125,20.913851217607885,11568.153427739562
Athletics Men's 200 metres,M,24.162224797219004,179.08806488991888,22.789949662069013,10415.698676213737
"Athletics Men's 3,000 metres Steeplechase",M,25.90530303030303,176.9280303030303,20.38149220114576,11527.053703502348
Athletics Men's 4 x 100 metres Relay,M,24.2947932618683,178.03598774885145,22.929945949206072,10593.608471868329
Athletics Men's 4 x 400 metres Relay,M,24.098522167487683,180.99178981937604,22.08977068190453,10447.473687955435
Athletics Men's 400 metres,M,24.018450184501845,180.29643296432965,22.110318354171454,8631.365864473193
Athletics Men's 400 metres Hurdles,M,24.815140845070424,182.82394366197184,22.133845711381543,10690.646334106292
"Athletics Men's 5,000 metres",M,25.70123839009288,174.9752321981424,20.12623553022524,10000.308245507902
Athletics Men's 50 kilometres Walk,M,29.64406779661017,176.76425269645608,20.994545109563813,14576.93807744198
Athletics Men's 800 metres,M,24.0,179.41213653603035,20.97786759563644,10149.776176288855
Athletics Men's Decathlon,M,25.53027139874739,187.68267223382045,24.23767754820373,13677.186837183928
Athletics Men's Discus Throw,M,27.730688935281837,192.6179540709812,30.709270374177816,12532.08265559778
Athletics Men's Hammer Throw,M,27.625,186.98863636363637,31.038943472732843,12314.714944585781
Athletics Men's High Jump,M,23.894422310756973,189.6374501992032,21.287336908707648,12683.48686256803
Athletics Men's Javelin Throw,M,26.219298245614034,186.3859649122807,26.937997001885375,14917.297720511215
Athletics Men's Long Jump,M,24.566844919786096,182.49376114081997,22.44143673660307,11068.44055435428
Athletics Men's Marathon,M,29.31791483113069,172.54698972099854,20.21251571456415,9928.375930969776
Athletics Men's Pole Vault,M,25.515081206496518,184.0,22.85640488602926,15001.5699023656
Athletics Men's Shot Put,M,27.183333333333334,191.31428571428572,33.54460178919087,13518.142640367627
Athletics Men's Triple Jump,M,25.494230769230768,183.6076923076923,22.419607985832805,9682.815479505347
"Athletics Women's 1,500 metres",F,25.596153846153847,166.07451923076923,19.032666345911075,13816.775161408092
Athletics Women's 10 kilometres Walk,F,25.681818181818183,164.125,19.309327542599952,14184.10573214237
"Athletics Women's 10,000 metres",F,26.837638376383765,162.93357933579335,18.372449657019278,19115.000137905685
Athletics Women's 100 metres,F,23.465561224489797,166.1734693877551,20.796772296804487,9478.112054324009
Athletics Women's 100 metres Hurdles,F,25.573529411764707,169.6299019607843,20.92265013489656,16206.02873430354
Athletics Women's 20 kilometres Walk,F,27.16949152542373,163.84745762711864,19.095275544004963,17467.533806782027
Athletics Women's 200 metres,F,23.696629213483146,168.25842696629215,20.520790465030775,10696.379006263774
"Athletics Women's 3,000 metres",F,25.030927835051546,164.84536082474227,18.711021746755392,11058.201630728561
"Athletics Women's 3,000 metres Steeplechase",F,26.20689655172414,167.33793103448275,18.712781351842278,22422.694399773256
Athletics Women's 4 x 100 metres Relay,F,23.716483516483517,166.9923076923077,20.786811680546403,11369.09541505008
Athletics Women's 4 x 400 metres Relay,F,24.356164383561644,170.06986301369864,20.201233830652225,13553.847340516975
Athletics Women's 400 metres,F,23.827956989247312,169.5627240143369,20.258259766479327,9998.502921413437
Athletics Women's 400 metres Hurdles,F,25.366666666666667,170.89,20.123361397448157,16420.965760932402
"Athletics Women's 5,000 metres",F,26.117903930131003,163.82096069868996,18.478512756104294,19420.432209352777
Athletics Women's 80 metres Hurdles,F,23.31764705882353,167.8235294117647,21.38182823214814,1602.2556328194974
Athletics Women's 800 metres,F,24.552,167.872,19.684779246520407,10738.605958857412
Athletics Women's Discus Throw,F,27.259541984732824,178.323155216285,27.06025903013913,11566.867981520863
Athletics Women's Hammer Throw,F,25.435233160621763,175.00518134715026,27.88355019449788,19194.725031399787
Athletics Women's Heptathlon,F,25.584192439862544,175.36769759450172,20.97645496794919,20612.16858406415
Athletics Women's High Jump,F,23.87938596491228,177.87938596491227,19.402679672378767,11331.53157480627
Athletics Women's Javelin Throw,F,25.72463768115942,172.82367149758454,23.915541265490273,13757.467164277463
Athletics Women's Long Jump,F,24.88050314465409,171.22012578616352,20.46237491271219,10983.401539760944
Athletics Women's Marathon,F,30.087791495198903,162.63374485596708,18.609521914475923,15700.743168600982
Athletics Women's Pentathlon,F,23.853448275862068,172.92241379310346,21.472633128464928,3376.23114117567
Athletics Women's Pole Vault,F,25.588571428571427,170.65714285714284,20.426573207227623,27692.57908267091
Athletics Women's Shot Put,F,26.29080118694362,177.7893175074184,28.99061296606722,11974.702318430333
Athletics Women's Triple Jump,F,26.195979899497488,174.42713567839195,20.021553653477124,12904.75275711829
Badminton Men's Doubles,M,26.70242214532872,179.61245674740485,23.242872762296884,19297.175431114894
Badminton Men's Singles,M,25.61754385964912,179.29473684210527,22.64860748440457,20347.248091665977
Badminton Mixed Doubles,F,26.491666666666667,169.33333333333334,21.57993710413341,22640.753453478137
Badminton Mixed Doubles,M,27.265625,180.46875,23.312156418508124,22451.547658499738
Badminton Women's Doubles,F,25.255555555555556,168.27777777777777,21.908002056221637,22202.881856539796
Badminton Women's Singles,F,24.57037037037037,168.24444444444444,21.498297022257248,23418.053131186032
Baseball Men's Baseball,M,26.3096926713948,182.59929078014184,25.676954688254675,24657.175583962504
Basketball Men's Basketball,M,25.60903284671533,196.0410583941606,23.9315884942876,9741.095410047617
Basketball Women's Basketball,F,25.666951323654995,182.5072587532024,22.058738316814043,16441.320188223763
Beach Volleyball Men's Beach Volleyball,M,29.974358974358974,193.28937728937728,23.958096152546016,29136.59695559321
Beach Volleyball Women's Beach Volleyball,F,28.27169811320755,178.90188679245284,21.344510964111695,29091.85961626835
Boxing Men's Bantamweight,M,22.80787037037037,166.3125,19.71770671529542,5891.460033424433
Boxing Men's Featherweight,M,22.17902813299233,168.72890025575447,20.153051154178197,5215.910513094016
Boxing Men's Flyweight,M,22.686075949367087,163.66835443037974,19.222354412393145,6554.584231537245
Boxing Men's Heavyweight,M,24.506382978723405,186.81702127659574,26.006964545989565,8492.647968478272
Boxing Men's Light-Flyweight,M,22.565217391304348,161.42546583850933,18.77519583620706,6536.923021181644
