Sport,Age,Height,BMI,GDP
Archery,26.278575225943648,173.24455077086657,23.20448099078955,17290.23243134124
Athletics,25.49668034315554,176.1030212607236,22.006264347362503,11965.515061115138
Badminton,25.80029368575624,174.2202643171806,22.368056230993723,21500.873984661033
Baseball,26.3096926713948,182.59929078014184,25.676954688254675,24657.175583962504
Basketball,25.629200118941423,191.32857567647935,23.27946016903588,12074.12045174975
Beach Volleyball,29.135687732342006,186.20260223048328,22.670735418465913,29114.56090555401
Boxing,23.322665392882733,172.82588965846668,21.633251686948437,6941.854092536721
Canoeing,25.397547835779307,178.60300947427086,23.904064261134195,14526.171754496709
Cycling,25.154847277556442,176.18273572377157,22.50577841956352,16751.975183148505
Diving,22.22769230769231,166.74,21.67704470666887,14797.070003097888
Equestrianism,34.229046409605175,174.39528977141538,22.223141918914088,20093.126742435004
Fencing,26.702351586910048,177.31475086334484,22.542610804046703,10372.060826894813
Football,23.52935468219311,175.40538573508005,22.767464608387254,14799.207278802583
Golf,29.583333333333332,174.0462962962963,23.39599810690758,33515.09284032899
Gymnastics,21.528658284634908,162.66932294433622,21.179299182327778,11330.653968051372
Handball,26.53793318763659,183.47580393381205,24.04980752639346,17099.04176022003
Hockey,25.639903846153846,173.31370192307693,22.90082691666745,16479.158485593925
Judo,25.41197604790419,174.12035928143712,25.592011138272017,14306.52341169021
Modern Pentathlon,26.149130074565036,178.1449875724938,22.098812651969677,10387.717008405923
Rhythmic Gymnastics,18.818330605564647,167.83633387888707,17.280041218322484,16583.07357515984
Rowing,25.47809139784946,184.3532258064516,23.42442050614849,16403.25172906744
Rugby Sevens,26.08080808080808,175.36363636363637,25.45604839415828,28505.441822989364
Sailing,29.232543103448275,178.2959051724138,23.74305521829282,17762.550150960593
Shooting,32.004023566604396,173.49806006610146,24.448638626469364,13227.950602644622
Softball,26.22902494331066,169.42857142857142,23.454671549817704,26793.63789743861
Swimming,20.62435303731953,178.6399346227186,21.963915823217853,15807.266592090502
Synchronized Swimming,22.48527679623086,168.489988221437,19.670155917600177,21629.350384156493
Table Tennis,26.644192634560905,171.2056657223796,22.025050436700514,20447.308557856744
Taekwondo,24.083892617449663,176.75,21.609986923922573,17153.364486603394
Tennis,25.081094779523568,178.8976178408515,21.972004743820364,20974.066873420685
Trampolining,25.16778523489933,166.56375838926175,21.297575206151002,24643.280683180586
Triathlon,27.899047619047618,173.62285714285716,20.393274347789514,31354.812053073503
Volleyball,25.24073506891271,186.9601837672282,22.457796449515612,12032.824019696984
Water Polo,25.727736367202823,184.9081992938407,24.536678997769584,15282.85288658739
Weightlifting,25.256265442993293,167.72890928344512,27.77086004157489,8540.776180963641
Wrestling,25.655419222903884,172.40286298568506,25.02451042280333,8367.013769548917
