NOC,GDP
ABW,19005.35200274871
AFG,269.8905723187013
AGO,1856.895386078015
ALB,3024.1250864904496
AND,28356.40292914314
ARE,33938.91666302806
ARG,6711.612066823386
ARM,2352.557015200562
ASM,10234.399940687612
ATG,7594.288065732429
AUS,25984.818996850783
AUT,20192.863311740293
AZE,3775.1110064371665
BDI,183.00281162993738
BEL,20366.09502455681
BEN,570.5841484655214
BFA,461.64973626937154
BGD,547.9638103139492
BGR,2594.305222963403
BHR,18435.82404003605
BIH,2985.0282125560993
BLR,3857.31741072213
BLZ,2779.7742790669454
BMU,36144.653238866835
BOL,1100.136846307205
BRA,5799.290766514478
BRB,8533.682661731564
BRN,30815.1469340907
BTN,950.6142102779309
BWA,3674.9298016045695
CAF,403.00286842135455
CAN,22893.15827021721
CHE,31689.416993331008
CHL,6876.397537295106
CHN,2711.6193384265052
CIV,1076.522537228722
CMR,996.5182610208645
COD,227.87021842084854
COL,3371.1565486307736
COM,1148.5712907422878
CPV,2547.880546391703
CRI,3137.7215243336454
CUB,2692.738363431681
CYM,85633.919427225
CYP,18054.096598806558
CZE,7239.628549191819
DEU,18815.749186523914
DJI,1317.7499678251163
DMA,5602.012683366673
DNK,28436.199260856956
DOM,3532.2572932407224
DZA,3140.0601606617706
ECU,3020.6372917216277
EGY,1664.3539972094154
ERI,357.4910950545307
ESP,16423.819190450467
EST,10420.000079520787
ETH,248.01912448260487
EUU,17476.756624405924
FIN,16170.505154381328
FJI,2829.0261567268603
FRA,21917.077049683267
FSM,2566.392431876207
GAB,6901.86734314865
GBR,21179.128503593638
GEO,2399.3165489857133
GHA,379.5788569257256
GIN,924.4520495199862
GNB,581.7400313136973
GNQ,4504.537226227687
GRC,16356.222139982123
GRD,5781.650943717551
GTM,1450.2300979297743
GUM,23589.582500282275
GUY,1481.853252173154
HKG,17247.155815864047
HND,1548.1076583975898
HRV,10169.782777639728
HTI,589.8276221298015
HUN,4409.124875413585
IDN,1242.7224156381244
IND,675.6405289473771
IRL,22849.31813167353
IRN,2830.3939377469483
IRQ,2513.031086401532
ISL,29388.75951531161
ISR,17969.352693187815
ITA,18459.99092986547
JAM,2789.4637826999697
JOR,2515.720829783742
JPN,24955.39493137676
KAZ,5589.952286245458
KEN,559.4487678011631
KGZ,554.7876106736179
KHM,438.5572085983914
KIR,1534.253440710204
KNA,14198.152149982368
KOR,12525.720303944528
KWT,19468.393510093163
LAO,646.090225251927
LBN,2025.10714845462
LBR,314.5020116728054
LBY,9205.416042265322
LCA,7484.825635695764
LIE,39920.79371575144
LKA,1143.1342766024563
LSO,501.9467791678496
LTU,8801.758842370426
LUX,30404.066210112327
LVA,8282.719878196898
MAR,1813.679930262857
MCO,77946.57934913415
MDA,1434.1433596954414
MDG,357.00478284454846
MDV,3457.405300214777
MEX,3584.0371697400283
MHL,3497.4935497011293
MKD,3248.43501503105
MLI,389.48474354925025
MLT,9432.57566063891
MMR,279.83301627054396
MNE,6937.786684369433
MNG,1739.9483554535586
MOZ,380.2982689910076
MRT,1014.2503463345478
MUS,5126.695429310311
MWI,289.7763770997469
MYS,4129.992269968182
NAM,3542.0026597631036
NER,439.2778350075656
NGA,1177.9565190742235
NIC,619.5381786698606
NLD,26562.90756557516
NOR,31795.68883036657
NPL,355.09182600100866
NRU,5251.863646835313
NZL,20645.21376535472
OMN,9521.843589258047
PAK,390.80053467518013
PAN,4156.740072666861
PER,1872.0869460966433
PHL,630.1750789335118
PLW,11640.815558409422
PNG,1218.3494717120514
POL,4835.701453894897
PRI,9265.763098058886
PRK,228.17491710709507
PRT,11586.449766768485
PRY,2543.4197761735395
PSE,2449.424392643654
QAT,46926.07799744283
ROU,2957.7961834220832
RUS,5411.7537945589875
RWA,422.1841793680465
SAU,11300.181618557717
SDN,709.106794825141
SEN,778.0267871993661
SGP,30249.235364396547
SLB,1179.398542064332
SLE,263.51913156360064
SLV,1153.422836877925
SMR,43587.07699308449
SOM,221.08786799773023
SRB,4452.544941161949
SSD,1613.8177549811614
STP,1035.5138701501085
SUR,3101.943989853419
SVK,10923.900036151637
SVN,17826.559295218092
SWE,24657.527528707848
SWZ,1568.2116874812152
SYC,7395.715661778009
SYR,1311.5366255980405
TCD,321.5596652639576
TGO,512.0016119175582
THA,2182.0065568315363
TJK,655.4326570056928
TKM,3401.263530084426
TLS,895.4893192084052
TON,2435.780200407772
TPE,17508.928998968007
TTO,8686.796858497026
TUN,2328.8704088097434
TUR,5920.211103313294
TUV,3547.27058927343
TZA,495.5262387772683
UGA,268.3447702904578
UKR,2181.5464900242105
URY,4450.7039382715575
USA,27881.856590755157
UZB,1226.1034111861538
VEN,5534.13267850425
VIR,31076.95728410468
VNM,1000.2688819187196
VUT,1838.5756139822217
WSM,2283.4351036795
XKX,3759.47285515454
YEM,973.9693835620993
ZAF,5025.622054586922
ZMB,603.5081248817637
ZWE,742.5945001000879
