Event,Sex,Age,Height,Weight,NOC
Archery Men's Individual,M,27.123100303951368,178.32370820668692,76.65653495440729,USA
Archery Men's Team,M,26.16176470588235,179.16176470588235,77.93529411764706,USA
Archery Women's Individual,F,26.09433962264151,167.0566037735849,61.7581475128645,CHN
Archery Women's Team,F,24.916666666666668,167.42333333333335,62.51,CHN
"Athletics Men's 1,500 metres",M,24.436950146627566,178.28152492668622,65.10410557184751,USA
"Athletics Men's 10,000 metres",M,26.6875,172.88194444444446,59.73871527777778,USA
Athletics Men's 100 metres,M,24.284926470588236,177.12408088235293,72.66727941176471,USA
Athletics Men's 110 metres Hurdles,M,25.03956834532374,185.55755395683454,78.08003597122303,USA
Athletics Men's 20 kilometres Walk,M,27.202435312024352,175.7412480974125,64.64535768645358,DEU
Athletics Men's 200 metres,M,24.162224797219004,179.08806488991888,73.1784472769409,USA
"Athletics Men's 3,000 metres Steeplechase",M,25.90530303030303,176.9280303030303,63.84469696969697,USA
Athletics Men's 4 x 100 metres Relay,M,24.2947932618683,178.03598774885145,72.79938744257274,DEU
Athletics Men's 4 x 400 metres Relay,M,24.098522167487683,180.99178981937604,72.42446633825944,USA
Athletics Men's 400 metres,M,24.018450184501845,180.29643296432965,71.92312423124231,USA
Athletics Men's 400 metres Hurdles,M,24.815140845070424,182.82394366197184,74.07218309859155,USA
"Athletics Men's 5,000 metres",M,25.70123839009288,174.9752321981424,61.64860681114551,USA
Athletics Men's 50 kilometres Walk,M,29.64406779661017,176.76425269645608,65.63328197226502,DEU
Athletics Men's 800 metres,M,24.0,179.41213653603035,67.55436156763591,USA
Athletics Men's Decathlon,M,25.53027139874739,187.68267223382045,85.43423799582463,DEU
Athletics Men's Discus Throw,M,27.730688935281837,192.6179540709812,114.08350730688936,DEU
Athletics Men's Hammer Throw,M,27.625,186.98863636363637,108.57727272727273,DEU
Athletics Men's High Jump,M,23.894422310756973,189.6374501992032,76.51394422310757,USA
Athletics Men's Javelin Throw,M,26.219298245614034,186.3859649122807,93.65131578947368,FIN
Athletics Men's Long Jump,M,24.566844919786096,182.49376114081997,74.75935828877006,USA
Athletics Men's Marathon,M,29.31791483113069,172.54698972099854,60.20704845814978,GBR
Athletics Men's Pole Vault,M,25.515081206496518,184.0,77.44895591647332,USA
Athletics Men's Shot Put,M,27.183333333333334,191.31428571428572,122.7202380952381,USA
Athletics Men's Triple Jump,M,25.494230769230768,183.6076923076923,75.64423076923077,USA
"Athletics Women's 1,500 metres",F,25.596153846153847,166.07451923076923,52.51682692307692,GBR
Athletics Women's 10 kilometres Walk,F,25.681818181818183,164.125,52.07954545454545,CHN
"Athletics Women's 10,000 metres",F,26.837638376383765,162.93357933579335,48.81549815498155,USA
Athletics Women's 100 metres,F,23.465561224489797,166.1734693877551,57.46619897959184,USA
Athletics Women's 100 metres Hurdles,F,25.573529411764707,169.6299019607843,60.245098039215684,USA
Athletics Women's 20 kilometres Walk,F,27.16949152542373,163.84745762711864,51.29830508474576,AUS
Athletics Women's 200 metres,F,23.696629213483146,168.25842696629215,58.105136436597114,USA
"Athletics Women's 3,000 metres",F,25.030927835051546,164.84536082474227,50.83505154639175,CAN
"Athletics Women's 3,000 metres Steeplechase",F,26.20689655172414,167.33793103448275,52.44137931034483,ETH
Athletics Women's 4 x 100 metres Relay,F,23.716483516483517,166.9923076923077,57.97802197802198,DEU
Athletics Women's 4 x 400 metres Relay,F,24.356164383561644,170.06986301369864,58.46506849315068,DEU
Athletics Women's 400 metres,F,23.827956989247312,169.5627240143369,58.261648745519715,GBR
Athletics Women's 400 metres Hurdles,F,25.366666666666667,170.89,58.82333333333333,USA
"Athletics Women's 5,000 metres",F,26.117903930131003,163.82096069868996,49.624454148471614,ETH
Athletics Women's 80 metres Hurdles,F,23.31764705882353,167.8235294117647,60.258823529411764,RUS
Athletics Women's 800 metres,F,24.552,167.872,55.482,USA
Athletics Women's Discus Throw,F,27.259541984732824,178.323155216285,86.08396946564885,DEU
Athletics Women's Hammer Throw,F,25.435233160621763,175.00518134715026,85.49222797927462,USA
Athletics Women's Heptathlon,F,25.584192439862544,175.36769759450172,64.54982817869416,DEU
Athletics Women's High Jump,F,23.87938596491228,177.87938596491227,61.39254385964912,USA
Athletics Women's Javelin Throw,F,25.72463768115942,172.82367149758454,71.46256038647343,DEU
Athletics Women's Long Jump,F,24.88050314465409,171.22012578616352,60.0125786163522,USA
Athletics Women's Marathon,F,30.087791495198903,162.63374485596708,49.2400548696845,ITA
Athletics Women's Pentathlon,F,23.853448275862068,172.92241379310346,64.28448275862068,DEU
Athletics Women's Pole Vault,F,25.588571428571427,170.65714285714284,59.48571428571429,USA
Athletics Women's Shot Put,F,26.29080118694362,177.7893175074184,91.58902077151335,DEU
Athletics Women's Triple Jump,F,26.195979899497488,174.42713567839195,60.92462311557789,RUS
Badminton Men's Doubles,M,26.70242214532872,179.61245674740485,75.0432525951557,IDN
Badminton Men's Singles,M,25.61754385964912,179.29473684210527,72.93859649122807,CHN
Badminton Mixed Doubles,F,26.491666666666667,169.33333333333334,61.958333333333336,CHN
Badminton Mixed Doubles,M,27.265625,180.46875,75.99609375,CHN
Badminton Women's Doubles,F,25.255555555555556,168.27777777777777,62.10740740740741,CHN
Badminton Women's Singles,F,24.57037037037037,168.24444444444444,60.9,CHN
Baseball Men's Baseball,M,26.3096926713948,182.59929078014184,85.71808510638297,JPN
Basketball Men's Basketball,M,25.60903284671533,196.0410583941606,92.36587591240875,USA
Basketball Women's Basketball,F,25.666951323654995,182.5072587532024,73.70794192997438,USA
Beach Volleyball Men's Beach Volleyball,M,29.974358974358974,193.28937728937728,89.51282051282051,BRA
Beach Volleyball Women's Beach Volleyball,F,28.27169811320755,178.90188679245284,68.35094339622641,AUS
Boxing Men's Bantamweight,M,22.80787037037037,166.3125,54.407407407407405,RUS
Boxing Men's Featherweight,M,22.17902813299233,168.72890025575447,57.234015345268546,DEU
Boxing Men's Flyweight,M,22.686075949367087,163.66835443037974,51.30632911392405,USA
Boxing Men's Heavyweight,M,24.506382978723405,186.81702127659574,90.51702127659574,DEU
Boxing Men's Light-Flyweight,M,22.565217391304348,161.42546583850933,48.7888198757764,PHL
Boxing Men's Light-Heavyweight,M,24.548780487804876,182.4359756097561,80.7530487804878,DEU
Boxing Men's Light-Middleweight,M,23.5,176.85714285714286,71.0875,DEU
Boxing Men's Light-Welterweight,M,23.06367924528302,173.05188679245282,63.69221698113208,DEU
Boxing Men's Lightweight,M,23.138173302107727,170.21779859484778,60.18384074941452,USA
Boxing Men's Middleweight,M,23.893175074183976,179.49554896142433,74.99554896142433,DEU
Boxing Men's Super-Heavyweight,M,24.96875,190.25,99.27734375,DEU
Boxing Men's Welterweight,M,23.36829836829837,174.96969696969697,67.3951048951049,DEU
Boxing Women's Flyweight,F,27.523809523809526,162.0,50.95238095238095,BGR
Boxing Women's Lightweight,F,26.68421052631579,167.78947368421052,60.0,BRA
Boxing Women's Middleweight,F,25.894736842105264,176.94736842105263,75.10526315789474,BRA
"Canoeing Men's Canadian Doubles, 1,000 metres",M,24.956410256410255,179.02820512820512,78.3076923076923,DEU
"Canoeing Men's Canadian Doubles, 500 metres",M,25.505836575875488,179.67315175097275,79.6692607003891,DEU
"Canoeing Men's Canadian Doubles, Slalom",M,26.3542600896861,176.65470852017938,72.60986547085201,DEU
"Canoeing Men's Canadian Singles, 1,000 metres",M,25.356828193832598,181.22907488986783,81.7136563876652,DEU
